"index","owner_id","pet_id","owner_age_group","pet_type"
"0","7016","9930","18-25","Dog"
"1","5637","3040","18-25","Rabbit"
"2","5366","2381","18-25","Rabbit"
"3","7063","3936","26-35","Hamster"
"4","3803","8989","36-45","Dog"
"5","5611","627","46-55","Fish"
"6","3504","3132","66+","Rabbit"
"7","5933","9988","56-65","Rabbit"
"8","4333","3735","26-35","Cat"
"9","5820","3035","66+","Fish"
"10","130","4339","18-25","Rabbit"
"11","2979","3686","26-35","Rabbit"
"12","9136","9230","46-55","Rabbit"
"13","7880","3223","26-35","Cat"
"14","787","3612","36-45","Fish"
"15","7018","7393","18-25","Dog"
"16","4166","1001","46-55","Dog"
"17","9890","7267","56-65","Hamster"
"18","5568","6725","56-65","Dog"
"19","936","3225","26-35","Hamster"
"20","7739","4238","56-65","Cat"
"21","2818","1956","56-65","Rabbit"
"22","4954","2058","36-45","Fish"
"23","2456","6332","26-35","Rabbit"
"24","7147","9689","46-55","Rabbit"
"25","4101","9419","36-45","Hamster"
"26","9442","2178","36-45","Dog"
"27","9951","3001","26-35","Cat"
"28","659","9769","46-55","Hamster"
"29","4302","5468","46-55","Fish"
"30","8612","2549","36-45","Dog"
"31","725","7956","66+","Hamster"
"32","8562","5747","36-45","Dog"
"33","7965","1382","36-45","Dog"
"34","4983","2869","36-45","Cat"
"35","5818","5975","18-25","Cat"
"36","4944","8805","46-55","Hamster"
"37","5743","8244","66+","Fish"
"38","6652","8007","18-25","Rabbit"
"39","3723","6103","66+","Rabbit"
"40","6343","2882","56-65","Dog"
"41","576","1297","26-35","Fish"
"42","3475","850","26-35","Hamster"
"43","7642","1640","36-45","Hamster"
"44","1992","5071","18-25","Fish"
"45","7768","4583","26-35","Rabbit"
"46","3258","5062","36-45","Cat"
"47","4495","9305","18-25","Dog"
"48","4135","1585","18-25","Fish"
"49","4725","8285","18-25","Dog"
"50","7979","7818","46-55","Hamster"
"51","6043","427","66+","Rabbit"
"52","8116","9223","56-65","Cat"
"53","2797","1925","46-55","Dog"
"54","5761","7030","26-35","Rabbit"
"55","4990","9367","56-65","Hamster"
"56","1339","3088","18-25","Hamster"
"57","4929","2342","66+","Hamster"
"58","1495","9539","56-65","Dog"
"59","7003","4150","36-45","Fish"
"60","9753","4001","46-55","Hamster"
"61","4680","1906","18-25","Rabbit"
"62","9685","585","26-35","Dog"
"63","2391","8226","56-65","Rabbit"
"64","7956","579","56-65","Dog"
"65","7165","7022","56-65","Dog"
"66","8609","3846","56-65","Fish"
"67","2527","5984","18-25","Fish"
"68","342","7716","66+","Cat"
"69","9044","4480","46-55","Hamster"
"70","9842","3821","26-35","Hamster"
"71","3445","6939","46-55","Rabbit"
"72","8044","6609","36-45","Cat"
"73","9015","5334","26-35","Cat"
"74","9215","9407","26-35","Hamster"
"75","1251","1173","56-65","Cat"
"76","1052","8631","66+","Hamster"
"77","9579","4937","26-35","Hamster"
"78","667","2528","26-35","Fish"
"79","8967","7642","26-35","Rabbit"
"80","3588","8840","18-25","Fish"
"81","8009","5919","26-35","Fish"
"82","5373","9466","26-35","Rabbit"
"83","2814","7117","66+","Hamster"
"84","9972","306","66+","Rabbit"
"85","4240","309","66+","Rabbit"
"86","8942","3530","36-45","Hamster"
"87","4562","7296","26-35","Dog"
"88","4945","9357","56-65","Rabbit"
"89","2654","4307","56-65","Hamster"
"90","7913","8149","66+","Dog"
"91","6916","83","26-35","Hamster"
"92","9242","3988","56-65","Cat"
"93","5039","5691","66+","Dog"
"94","683","1261","46-55","Dog"
"95","3739","5622","66+","Cat"
"96","9304","3467","18-25","Fish"
"97","7620","1115","26-35","Rabbit"
"98","4797","2429","36-45","Dog"
"99","3884","782","26-35","Cat"
"100","8726","2893","66+","Dog"
"101","6231","6194","46-55","Cat"
"102","1722","3946","66+","Cat"
"103","6526","694","26-35","Hamster"
"104","3846","8804","46-55","Fish"
"105","4317","8710","56-65","Dog"
"106","4457","5421","26-35","Rabbit"
"107","1806","4643","36-45","Hamster"
"108","4144","8070","36-45","Fish"
"109","6524","4278","46-55","Cat"
"110","9186","5610","36-45","Fish"
"111","4991","9721","26-35","Rabbit"
"112","5185","7172","18-25","Rabbit"
"113","2160","7190","36-45","Hamster"
"114","7893","5940","56-65","Fish"
"115","9346","2060","46-55","Hamster"
"116","592","7706","56-65","Hamster"
"117","360","1888","36-45","Fish"
"118","2443","2733","56-65","Rabbit"
"119","9512","1345","18-25","Fish"
"120","2135","9578","46-55","Fish"
"121","8034","1772","18-25","Cat"
"122","1745","5823","36-45","Cat"
"123","6362","9356","18-25","Hamster"
"124","321","601","18-25","Fish"
"125","2533","6409","26-35","Fish"
"126","6873","7010","36-45","Fish"
"127","5266","2448","26-35","Hamster"
"128","1403","6102","46-55","Hamster"
"129","755","3340","18-25","Hamster"
"130","1578","4726","66+","Rabbit"
"131","5059","3224","36-45","Cat"
"132","1559","2299","18-25","Hamster"
"133","3438","5890","46-55","Cat"
"134","9906","5406","66+","Fish"
"135","7119","6806","56-65","Dog"
"136","1208","2262","26-35","Rabbit"
"137","1365","2590","26-35","Dog"
"138","3428","5643","56-65","Rabbit"
"139","8303","6683","66+","Cat"
"140","6469","9271","56-65","Rabbit"
"141","6689","1057","46-55","Fish"
"142","5338","7972","56-65","Hamster"
"143","8254","9163","46-55","Hamster"
"144","939","6917","26-35","Dog"
"145","797","6740","46-55","Cat"
"146","9401","2747","26-35","Hamster"
"147","5210","5958","36-45","Fish"
"148","2966","9874","46-55","Fish"
"149","3974","5243","46-55","Cat"
"150","2552","9218","26-35","Fish"
"151","1146","1678","36-45","Dog"
"152","3009","2547","36-45","Hamster"
"153","3173","1963","66+","Dog"
"154","1107","6556","56-65","Dog"
"155","4121","5987","66+","Hamster"
"156","785","1239","36-45","Fish"
"157","9232","6897","36-45","Cat"
"158","8475","5925","56-65","Hamster"
"159","7906","6934","26-35","Cat"
"160","5633","9322","26-35","Fish"
"161","1387","473","56-65","Hamster"
"162","3664","9445","18-25","Dog"
"163","3641","7936","36-45","Fish"
"164","446","3466","46-55","Hamster"
"165","1614","1169","56-65","Cat"
"166","12","6518","46-55","Dog"
"167","9437","5457","18-25","Fish"
"168","1834","1417","46-55","Rabbit"
"169","3777","6617","36-45","Fish"
"170","6776","542","18-25","Hamster"
"171","4975","9525","18-25","Fish"
"172","3390","8418","56-65","Rabbit"
"173","7087","1207","26-35","Rabbit"
"174","2269","4777","36-45","Rabbit"
"175","1201","5194","56-65","Dog"
"176","6225","1343","18-25","Hamster"
"177","8267","2840","46-55","Fish"
"178","6511","2094","46-55","Cat"
"179","4116","8412","18-25","Hamster"
"180","6541","6172","18-25","Hamster"
"181","6103","4045","46-55","Dog"
"182","5899","1309","18-25","Hamster"
"183","4043","6851","56-65","Dog"
"184","5887","5578","18-25","Cat"
"185","6864","5863","36-45","Dog"
"186","8251","8177","18-25","Dog"
"187","885","5789","26-35","Hamster"
"188","9686","4584","36-45","Hamster"
"189","7057","2287","66+","Rabbit"
"190","4754","8903","66+","Fish"
"191","6899","6480","66+","Dog"
"192","359","2415","46-55","Rabbit"
"193","4776","5699","26-35","Fish"
"194","7330","7515","18-25","Rabbit"
"195","5416","831","46-55","Cat"
"196","7022","7482","26-35","Rabbit"
"197","3792","5091","26-35","Cat"
"198","1457","7757","18-25","Hamster"
"199","6053","7692","36-45","Hamster"
"200","8154","3727","66+","Dog"
"201","8152","774","26-35","Dog"
"202","7658","6141","56-65","Dog"
"203","8590","7416","18-25","Hamster"
"204","9708","2837","56-65","Fish"
"205","8599","2898","46-55","Cat"
"206","3823","741","26-35","Rabbit"
"207","6055","5632","26-35","Cat"
"208","487","6838","36-45","Rabbit"
"209","3276","7833","46-55","Fish"
"210","2769","8354","26-35","Fish"
"211","2969","4098","66+","Rabbit"
"212","26","2729","46-55","Rabbit"
"213","3985","7281","18-25","Fish"
"214","264","3300","66+","Hamster"
"215","8286","3289","46-55","Hamster"
"216","8158","5540","56-65","Dog"
"217","8793","5445","56-65","Hamster"
"218","1102","9900","36-45","Dog"
"219","4834","3520","36-45","Hamster"
"220","7822","3420","66+","Fish"
"221","6918","637","56-65","Cat"
"222","3456","5107","36-45","Fish"
"223","6060","7825","56-65","Dog"
"224","4180","7778","46-55","Rabbit"
"225","4091","5563","36-45","Rabbit"
"226","6780","7891","56-65","Dog"
"227","5569","8746","66+","Dog"
"228","7886","997","26-35","Hamster"
"229","4517","5345","66+","Cat"
"230","7961","6896","56-65","Dog"
"231","9364","8586","66+","Hamster"
"232","7672","6467","26-35","Fish"
"233","2345","9115","36-45","Fish"
"234","4154","9452","18-25","Rabbit"
"235","5668","4073","46-55","Hamster"
"236","7968","3856","66+","Hamster"
"237","9723","9244","66+","Rabbit"
"238","2733","3220","26-35","Fish"
"239","6471","2144","46-55","Fish"
"240","6699","7766","56-65","Rabbit"
"241","8397","8455","18-25","Rabbit"
"242","6591","8349","26-35","Rabbit"
"243","8360","1441","18-25","Hamster"
"244","1036","696","26-35","Rabbit"
"245","9788","6620","46-55","Hamster"
"246","9887","217","26-35","Dog"
"247","479","7212","18-25","Cat"
"248","9337","4947","56-65","Rabbit"
"249","1835","9008","36-45","Rabbit"
"250","6530","5090","26-35","Hamster"
"251","6618","2726","56-65","Fish"
"252","5464","5216","36-45","Fish"
"253","477","4778","56-65","Cat"
"254","6252","8342","36-45","Rabbit"
"255","2804","8981","18-25","Rabbit"
"256","4554","3605","66+","Cat"
"257","499","6919","36-45","Hamster"
"258","2263","337","36-45","Cat"
"259","1279","4690","66+","Dog"
"260","1336","8103","26-35","Fish"
"261","3196","6087","26-35","Hamster"
"262","4004","4024","56-65","Dog"
"263","1961","3147","18-25","Dog"
"264","2037","3026","66+","Rabbit"
"265","980","6729","46-55","Hamster"
"266","200","8237","66+","Fish"
"267","7703","751","46-55","Fish"
"268","1621","1564","18-25","Rabbit"
"269","5345","532","18-25","Fish"
"270","818","1366","56-65","Dog"
"271","7350","7788","36-45","Dog"
"272","4697","5008","66+","Dog"
"273","7440","833","66+","Fish"
"274","13","3370","66+","Hamster"
"275","2479","3154","66+","Hamster"
"276","674","1635","26-35","Hamster"
"277","3326","1159","18-25","Cat"
"278","5690","9018","46-55","Rabbit"
"279","1001","1060","56-65","Rabbit"
"280","7211","8208","36-45","Fish"
"281","6128","9581","66+","Rabbit"
"282","9137","209","56-65","Fish"
"283","1269","5503","46-55","Cat"
"284","5102","986","18-25","Hamster"
"285","153","3410","66+","Dog"
"286","8343","6435","26-35","Hamster"
"287","1912","8518","26-35","Rabbit"
"288","1625","239","36-45","Fish"
"289","6083","503","66+","Fish"
"290","5150","6901","46-55","Dog"
"291","8413","9555","26-35","Hamster"
"292","3870","556","26-35","Fish"
"293","6402","9695","66+","Fish"
"294","9477","4734","66+","Rabbit"
"295","6327","2805","36-45","Rabbit"
"296","9741","1846","56-65","Rabbit"
"297","6230","2016","56-65","Dog"
"298","9638","2350","36-45","Rabbit"
"299","2639","9191","66+","Hamster"
"300","9264","2544","56-65","Rabbit"
"301","2115","5231","36-45","Rabbit"
"302","1937","6205","56-65","Rabbit"
"303","560","9684","18-25","Hamster"
"304","9853","8877","36-45","Cat"
"305","4534","3017","46-55","Hamster"
"306","129","7680","66+","Rabbit"
"307","4485","9071","56-65","Hamster"
"308","7098","2471","46-55","Dog"
"309","329","3100","66+","Dog"
"310","6355","3884","66+","Rabbit"
"311","9867","4346","46-55","Fish"
"312","94","8353","18-25","Fish"
"313","8722","3463","18-25","Hamster"
"314","7299","5799","26-35","Fish"
"315","6845","4438","56-65","Cat"
"316","8159","4934","46-55","Cat"
"317","7557","7331","36-45","Cat"
"318","8319","1939","26-35","Cat"
"319","7419","2783","26-35","Rabbit"
"320","9222","6147","26-35","Hamster"
"321","3636","6241","18-25","Hamster"
"322","7009","9692","46-55","Cat"
"323","2402","5404","36-45","Rabbit"
"324","6660","6689","66+","Fish"
"325","3539","9712","36-45","Cat"
"326","4032","9632","36-45","Rabbit"
"327","7641","5850","46-55","Dog"
"328","4850","9561","66+","Fish"
"329","9359","864","18-25","Cat"
"330","3080","3885","56-65","Cat"
"331","1451","9","46-55","Hamster"
"332","3425","4912","66+","Dog"
"333","6556","9922","46-55","Fish"
"334","472","3484","36-45","Hamster"
"335","160","8387","36-45","Cat"
"336","4311","9319","36-45","Hamster"
"337","4597","5693","18-25","Fish"
"338","1749","6963","56-65","Rabbit"
"339","258","9558","46-55","Rabbit"
"340","5930","9221","36-45","Fish"
"341","7214","3587","26-35","Hamster"
"342","5293","538","46-55","Fish"
"343","6925","3190","46-55","Fish"
"344","9937","3330","36-45","Rabbit"
"345","5392","4995","36-45","Rabbit"
"346","3252","8676","18-25","Fish"
"347","195","2881","26-35","Fish"
"348","4092","6482","46-55","Fish"
"349","4315","2289","66+","Fish"
"350","654","6859","56-65","Cat"
"351","5976","5630","36-45","Dog"
"352","3138","1370","18-25","Hamster"
"353","768","5555","18-25","Cat"
"354","6300","236","18-25","Fish"
"355","4500","9030","18-25","Hamster"
"356","6792","8940","66+","Fish"
"357","1748","1322","66+","Fish"
"358","3447","8691","26-35","Fish"
"359","459","9485","66+","Hamster"
"360","4702","6089","18-25","Fish"
"361","4000","1006","18-25","Cat"
"362","2238","2441","18-25","Rabbit"
"363","4482","9618","18-25","Fish"
"364","3183","3767","36-45","Dog"
"365","187","2888","36-45","Rabbit"
"366","4535","249","56-65","Dog"
"367","8924","5395","26-35","Fish"
"368","8847","9968","56-65","Hamster"
"369","8128","3304","46-55","Fish"
"370","9659","9946","26-35","Fish"
"371","9515","3750","26-35","Dog"
"372","6294","3695","56-65","Fish"
"373","9466","6209","56-65","Hamster"
"374","8775","1216","26-35","Fish"
"375","9672","7975","56-65","Hamster"
"376","6054","7666","26-35","Rabbit"
"377","496","8572","66+","Rabbit"
"378","6405","3784","46-55","Fish"
"379","9915","2191","36-45","Rabbit"
"380","1231","7004","66+","Dog"
"381","9548","3291","56-65","Fish"
"382","6072","658","18-25","Dog"
"383","3060","3617","66+","Dog"
"384","290","5288","56-65","Dog"
"385","4878","9472","46-55","Cat"
"386","8827","1949","46-55","Rabbit"
"387","9637","717","46-55","Dog"
"388","6893","1047","18-25","Dog"
"389","6619","8789","18-25","Rabbit"
"390","658","2284","26-35","Rabbit"
"391","5508","3638","56-65","Dog"
"392","948","9186","66+","Rabbit"
"393","8149","5418","18-25","Dog"
"394","2829","4195","66+","Fish"
"395","9603","6121","66+","Fish"
"396","7351","2901","46-55","Dog"
"397","3958","3309","56-65","Hamster"
"398","2607","2735","66+","Hamster"
"399","7271","6778","36-45","Cat"
"400","4465","3830","46-55","Dog"
"401","5397","1292","18-25","Dog"
"402","7969","5501","26-35","Rabbit"
"403","6601","4899","56-65","Dog"
"404","1811","2235","26-35","Cat"
"405","4593","8047","26-35","Rabbit"
"406","7039","6315","56-65","Dog"
"407","655","6075","26-35","Fish"
"408","1349","884","46-55","Cat"
"409","922","6824","56-65","Cat"
"410","119","5037","26-35","Fish"
"411","8087","8716","66+","Dog"
"412","343","8868","46-55","Rabbit"
"413","8368","9187","66+","Rabbit"
"414","2214","2630","18-25","Cat"
"415","6278","7485","56-65","Dog"
"416","4293","4592","46-55","Hamster"
"417","2392","8510","18-25","Cat"
"418","4424","4410","56-65","Cat"
"419","9306","2794","66+","Dog"
"420","4094","6338","46-55","Fish"
"421","6975","3414","26-35","Rabbit"
"422","2027","5198","36-45","Hamster"
"423","2385","3057","26-35","Hamster"
"424","418","2843","46-55","Hamster"
"425","351","9481","36-45","Fish"
"426","3162","4853","56-65","Dog"
"427","254","4768","56-65","Dog"
"428","3521","6454","26-35","Hamster"
"429","6194","5323","66+","Rabbit"
"430","4531","4539","18-25","Dog"
"431","3794","5968","46-55","Fish"
"432","8470","7144","56-65","Rabbit"
"433","2614","1540","26-35","Rabbit"
"434","6281","5336","46-55","Cat"
"435","310","2755","18-25","Rabbit"
"436","6429","5301","56-65","Fish"
"437","629","9706","46-55","Rabbit"
"438","5367","4834","26-35","Dog"
"439","1419","7970","36-45","Hamster"
"440","9128","500","26-35","Cat"
"441","6851","5860","18-25","Dog"
"442","3061","8697","18-25","Rabbit"
"443","1903","9379","46-55","Fish"
"444","1558","1993","66+","Hamster"
"445","3039","1902","36-45","Dog"
"446","901","9718","26-35","Cat"
"447","3740","5659","46-55","Cat"
"448","4979","2709","26-35","Cat"
"449","27","2513","46-55","Dog"
"450","2664","4761","56-65","Cat"
"451","480","3723","56-65","Dog"
"452","1424","8993","66+","Cat"
"453","8337","8705","66+","Rabbit"
"454","5361","6602","18-25","Cat"
"455","7877","3828","46-55","Fish"
"456","7485","8702","56-65","Dog"
"457","3114","4955","66+","Dog"
"458","1085","2777","66+","Hamster"
"459","5687","1303","18-25","Fish"
"460","853","6032","26-35","Cat"
"461","6204","9236","66+","Fish"
"462","4044","2912","18-25","Hamster"
"463","6305","8318","18-25","Fish"
"464","9632","1334","26-35","Dog"
"465","7785","5017","36-45","Cat"
"466","7816","7352","56-65","Hamster"
"467","5114","7799","36-45","Fish"
"468","8142","1735","56-65","Fish"
"469","2224","4074","36-45","Cat"
"470","4304","6331","46-55","Hamster"
"471","2099","2218","46-55","Rabbit"
"472","8458","215","26-35","Dog"
"473","1502","9227","56-65","Hamster"
"474","5909","6816","26-35","Fish"
"475","9435","5414","26-35","Dog"
"476","7635","248","66+","Dog"
"477","2752","8967","66+","Dog"
"478","1955","7785","26-35","Rabbit"
"479","858","9960","18-25","Cat"
"480","5015","9659","18-25","Dog"
"481","4741","8396","36-45","Fish"
"482","9731","7298","26-35","Cat"
"483","7472","9813","66+","Hamster"
"484","1972","8136","18-25","Dog"
"485","1407","6376","56-65","Rabbit"
"486","6427","2278","26-35","Hamster"
"487","3923","1286","36-45","Fish"
"488","630","9179","46-55","Rabbit"
"489","9116","3444","66+","Rabbit"
"490","8432","3228","66+","Fish"
"491","6166","9124","26-35","Rabbit"
"492","58","4056","46-55","Hamster"
"493","7985","454","26-35","Fish"
"494","7766","8833","18-25","Hamster"
"495","1444","379","36-45","Cat"
"496","8252","2887","36-45","Rabbit"
"497","9742","7080","66+","Cat"
"498","2761","6534","26-35","Cat"
"499","8605","150","26-35","Rabbit"
"500","2303","4212","56-65","Dog"
"501","4090","4747","18-25","Hamster"
"502","2075","6731","46-55","Dog"
"503","3324","2813","18-25","Rabbit"
"504","8706","4192","56-65","Rabbit"
"505","3070","1204","18-25","Cat"
"506","8490","7113","36-45","Rabbit"
"507","7142","516","66+","Rabbit"
"508","8179","7374","46-55","Rabbit"
"509","8648","1901","56-65","Cat"
"510","3596","121","18-25","Rabbit"
"511","109","1968","26-35","Cat"
"512","5088","4452","18-25","Cat"
"513","3245","428","56-65","Dog"
"514","3887","4060","36-45","Fish"
"515","5249","2717","18-25","Fish"
"516","3839","9167","46-55","Cat"
"517","6170","9011","18-25","Cat"
"518","7325","2492","46-55","Cat"
"519","3553","9136","18-25","Dog"
"520","9424","9856","36-45","Dog"
"521","915","3569","36-45","Dog"